Are you exhausted in the morning at the thought of another day at work?,How often do you feel worn out?,Do you feel that every working hour is tiring for you?,How often do you think: 'I can’t take it anymore'?,How often are you emotionally exhausted?,Does your work frustrate you?,How often do you feel tired?,Do you feel worn out at the end of the working day?,Do you have enough energy for family and friends during your leisure time?,How often are you physically exhausted?,How often do you feel weak and susceptible to illness?,Is your work emotionally exhausting?,Do you feel burnt out because of your work?,Total Score,Percentage Likely to Burnout
1,2,2,5,2,4,2,5,2,4,1,5,1,130,57.77777777777777
1,1,3,3,1,5,4,4,2,5,3,1,2,117,52.0
4,3,3,1,4,5,3,1,5,4,3,5,5,159,70.66666666666667
5,3,3,2,4,1,5,2,1,2,3,5,1,132,58.666666666666664
1,1,1,1,2,5,3,3,3,3,2,4,5,122,54.22222222222223
1,4,3,4,5,1,1,5,5,3,1,4,2,141,62.66666666666667
2,5,3,2,1,5,4,5,4,5,5,5,4,168,74.66666666666667
4,5,2,3,3,3,4,4,2,3,3,5,4,159,70.66666666666667
3,2,2,3,4,2,5,2,1,1,4,3,4,131,58.22222222222222
4,4,4,5,5,2,1,4,2,1,3,5,1,147,65.33333333333333
3,1,5,5,2,4,1,1,3,5,1,5,1,130,57.77777777777777
2,4,1,5,2,1,3,4,1,2,3,2,2,113,50.22222222222222
3,2,3,1,3,3,4,3,3,1,4,5,1,123,54.666666666666664
1,5,3,2,4,2,5,1,1,4,1,1,4,119,52.888888888888886
4,5,1,1,5,3,3,3,5,1,5,5,3,150,66.66666666666666
2,1,3,2,2,4,1,2,3,4,1,5,3,119,52.888888888888886
2,2,3,2,4,1,4,2,5,1,1,3,3,116,51.55555555555556
5,1,5,3,3,1,4,2,3,3,4,4,5,156,69.33333333333334
5,2,2,1,5,3,5,3,4,5,4,2,2,147,65.33333333333333
1,5,4,3,2,2,3,4,4,5,5,1,2,134,59.55555555555555
5,4,3,4,2,4,1,2,3,1,2,3,1,113,50.22222222222222
1,2,5,1,1,3,4,2,2,5,5,2,5,131,58.22222222222222
3,2,5,2,4,1,2,1,5,1,2,4,5,133,59.111111111111114
2,5,3,1,3,2,4,5,1,5,2,5,1,138,61.33333333333333
2,5,4,2,2,4,3,1,3,5,4,3,2,130,57.77777777777777
5,5,3,3,4,1,3,3,2,5,1,2,4,146,64.88888888888889
4,3,3,4,3,1,3,5,3,2,1,2,2,126,56.00000000000001
5,1,1,1,1,1,5,3,2,1,3,3,2,100,44.44444444444444
5,4,4,3,2,4,3,5,4,3,3,1,5,153,68.0
1,2,1,1,4,3,5,1,5,1,2,1,4,104,46.22222222222222
3,2,1,5,2,2,1,2,5,2,5,1,3,114,50.66666666666667
2,3,5,2,4,3,2,3,2,1,3,4,4,136,60.44444444444444
5,2,3,5,3,2,4,1,4,5,1,5,2,149,66.22222222222223
1,5,2,4,2,3,2,2,3,5,5,2,3,131,58.22222222222222
3,4,5,1,5,5,4,1,4,1,2,1,4,130,57.77777777777777
5,1,1,3,5,2,4,2,5,1,1,5,1,128,56.888888888888886
1,1,4,4,3,2,5,5,5,3,4,3,5,161,71.55555555555554
2,1,4,4,3,4,5,5,3,5,2,3,2,151,67.11111111111111
1,2,1,1,2,3,5,5,1,1,3,4,2,110,48.888888888888886
1,5,3,2,3,2,2,1,3,3,5,5,1,122,54.22222222222223
1,4,5,2,3,1,3,3,4,5,1,3,1,123,54.666666666666664
2,4,2,1,1,5,3,3,2,4,3,5,2,124,55.111111111111114
2,5,4,5,4,5,5,1,2,5,5,3,2,161,71.55555555555554
3,2,3,5,5,1,3,4,1,3,3,1,5,147,65.33333333333333
3,5,1,5,2,4,3,4,5,3,5,2,1,137,60.88888888888889
3,2,2,3,5,2,4,2,5,5,4,2,5,157,69.77777777777779
3,1,1,1,2,4,5,3,3,2,1,2,4,110,48.888888888888886
4,5,5,4,4,4,2,4,3,1,4,1,2,140,62.22222222222222
1,2,3,2,2,5,4,4,3,3,4,5,4,147,65.33333333333333
5,3,1,3,3,2,2,2,2,5,4,1,3,125,55.55555555555556
5,1,5,5,3,4,2,4,3,3,3,1,4,149,66.22222222222223
4,5,5,5,3,4,3,1,5,3,3,1,2,139,61.77777777777778
4,2,5,3,1,1,4,2,4,3,4,1,1,112,49.77777777777778
5,5,3,2,4,3,5,4,5,4,2,3,4,166,73.77777777777777
1,1,4,4,4,1,1,4,5,5,2,3,5,150,66.66666666666666
1,5,2,2,3,5,1,1,4,1,3,3,1,100,44.44444444444444
1,4,1,4,4,1,2,2,4,1,2,1,1,94,41.77777777777778
1,5,1,5,4,2,2,2,2,2,2,2,4,122,54.22222222222223
1,3,5,3,3,1,1,1,2,4,2,4,4,126,56.00000000000001
3,3,4,4,2,2,3,1,4,2,3,2,4,125,55.55555555555556
4,5,1,5,3,2,3,4,5,5,5,3,4,169,75.1111111111111
2,2,3,5,1,3,3,4,2,3,3,5,5,150,66.66666666666666
1,4,1,5,2,5,4,5,4,4,4,4,4,162,72.0
2,1,3,1,4,2,5,2,4,2,2,4,2,120,53.333333333333336
3,3,2,5,4,3,5,2,5,1,3,2,4,143,63.55555555555556
2,4,2,5,5,5,1,4,5,1,4,2,1,135,60.0
3,1,1,4,2,3,5,5,1,4,4,5,3,151,67.11111111111111
2,3,2,5,2,4,1,1,5,4,3,4,1,123,54.666666666666664
1,4,4,1,3,5,5,4,5,1,1,4,4,140,62.22222222222222
4,3,5,4,2,2,1,5,4,2,5,1,3,137,60.88888888888889
5,5,3,5,1,1,3,4,2,4,5,2,3,146,64.88888888888889
3,2,1,2,5,1,3,2,4,4,5,4,2,137,60.88888888888889
2,4,2,5,1,5,5,2,1,2,3,2,2,117,52.0
2,1,2,1,4,3,1,4,1,1,3,5,5,128,56.888888888888886
1,2,4,2,2,1,1,1,1,5,1,5,5,121,53.77777777777778
1,3,4,2,5,4,3,2,2,5,1,3,5,146,64.88888888888889
3,1,1,5,1,4,2,5,3,4,5,1,1,120,53.333333333333336
1,1,3,4,2,3,3,2,2,1,3,5,2,115,51.11111111111111
2,4,5,5,2,1,4,5,2,5,4,4,3,164,72.88888888888889
2,4,3,3,5,5,3,5,4,1,4,3,3,153,68.0
4,5,5,3,2,5,4,5,4,3,5,4,3,171,76.0
2,4,2,2,1,5,4,2,1,3,4,2,5,124,55.111111111111114
1,2,5,2,4,4,4,1,4,5,2,3,5,148,65.77777777777779
5,4,1,2,1,2,2,1,5,2,1,2,3,99,44.0
5,4,2,3,4,4,2,1,2,3,4,2,1,122,54.22222222222223
2,5,1,3,4,2,1,5,1,5,3,4,3,144,64.0
2,1,5,5,1,1,2,3,5,2,3,2,5,130,57.77777777777777
1,1,3,4,3,4,2,2,5,4,5,1,4,133,59.111111111111114
3,1,1,3,1,4,5,1,4,2,4,5,4,131,58.22222222222222
3,5,2,3,4,5,2,3,2,4,2,1,3,131,58.22222222222222
2,4,4,2,4,5,5,5,1,2,1,4,1,137,60.88888888888889
4,4,3,5,4,3,5,4,4,1,1,5,4,166,73.77777777777777
2,1,5,4,4,2,5,4,1,2,5,2,1,134,59.55555555555555
5,2,3,1,1,1,3,3,4,2,4,2,3,113,50.22222222222222
3,4,5,4,2,4,1,2,2,5,3,2,3,135,60.0
4,1,5,3,2,3,2,3,2,4,2,2,1,116,51.55555555555556
2,1,5,1,4,1,5,4,3,3,1,1,5,131,58.22222222222222
5,2,5,2,4,1,4,5,4,4,4,5,4,177,78.66666666666666
2,5,4,5,3,2,4,3,3,5,3,2,2,146,64.88888888888889
1,2,3,2,5,1,3,1,3,5,1,4,3,128,56.888888888888886
4,1,4,4,1,5,4,4,5,4,4,4,2,153,68.0
5,4,5,3,3,4,5,5,5,2,3,5,5,185,82.22222222222221
2,2,5,1,5,5,2,2,5,5,5,2,5,158,70.22222222222221
5,4,1,3,1,4,3,5,4,5,2,4,2,144,64.0
4,4,2,3,1,5,4,5,2,5,2,5,1,145,64.44444444444444
1,1,1,1,1,2,4,5,1,2,2,2,4,99,44.0
5,4,3,2,3,1,1,4,5,3,5,4,1,138,61.33333333333333
5,5,1,3,1,5,3,3,1,5,4,5,2,145,64.44444444444444
4,3,4,3,3,4,3,3,2,5,5,2,4,155,68.88888888888889
1,1,1,2,2,3,1,4,4,1,1,1,2,81,36.0
2,2,5,4,4,3,2,5,5,4,2,3,2,150,66.66666666666666
1,2,1,1,3,4,2,1,2,4,4,5,4,124,55.111111111111114
3,1,5,3,2,1,4,1,2,5,5,5,4,150,66.66666666666666
3,3,1,4,5,5,2,2,5,5,4,3,2,150,66.66666666666666
3,4,5,3,5,5,1,3,3,5,4,1,5,162,72.0
2,2,1,4,5,3,1,4,3,2,2,3,1,119,52.888888888888886
2,5,3,3,2,1,5,1,4,4,2,2,2,118,52.44444444444445
4,1,1,2,5,1,4,3,3,3,5,2,4,139,61.77777777777778
5,4,4,2,3,2,5,5,5,2,4,4,1,152,67.55555555555556
5,4,1,4,5,3,5,2,4,4,2,2,3,151,67.11111111111111
4,4,3,1,3,5,4,2,5,4,3,5,4,158,70.22222222222221
1,1,2,4,1,3,4,3,3,1,4,5,1,114,50.66666666666667
1,4,4,3,4,3,1,2,5,1,4,5,2,133,59.111111111111114
2,3,5,3,1,5,1,3,5,3,5,3,2,131,58.22222222222222
3,2,3,5,5,5,4,1,5,2,5,4,2,156,69.33333333333334
4,2,3,1,1,4,1,4,4,4,1,4,1,113,50.22222222222222
4,5,4,2,4,3,4,2,2,1,5,4,1,136,60.44444444444444
5,4,3,4,2,2,3,1,5,4,2,1,3,127,56.44444444444444
2,3,4,5,2,2,4,1,5,2,5,2,5,142,63.11111111111111
3,2,5,1,3,3,1,5,4,1,5,1,1,113,50.22222222222222
2,5,4,2,1,1,1,5,5,2,4,2,3,121,53.77777777777778
1,1,1,2,2,1,2,5,5,2,1,2,2,95,42.22222222222222
2,3,5,4,4,3,2,3,3,1,5,4,2,142,63.11111111111111
4,4,5,4,4,3,5,1,2,4,2,1,2,137,60.88888888888889
1,3,4,1,2,4,3,4,1,3,2,3,3,118,52.44444444444445
5,3,3,4,2,4,4,1,4,5,5,1,2,138,61.33333333333333
2,4,4,4,2,3,5,3,3,2,3,1,4,133,59.111111111111114
1,5,4,3,5,4,3,1,4,3,1,5,5,156,69.33333333333334
5,5,2,4,4,2,3,3,5,1,3,1,4,140,62.22222222222222
1,4,2,2,5,3,5,4,5,1,4,2,3,138,61.33333333333333
4,4,1,3,2,4,4,1,5,2,3,4,4,136,60.44444444444444
2,5,4,2,1,5,3,4,2,1,3,2,2,113,50.22222222222222
3,1,1,5,4,3,3,3,1,4,5,2,2,134,59.55555555555555
3,4,1,4,4,1,3,4,2,1,5,3,1,126,56.00000000000001
5,5,4,4,4,1,1,3,4,5,2,3,1,144,64.0
3,3,3,3,2,4,5,3,3,3,4,1,1,121,53.77777777777778
2,1,3,3,3,2,3,1,4,4,5,1,3,120,53.333333333333336
4,1,4,3,4,5,5,4,1,1,1,4,1,133,59.111111111111114
3,5,3,1,3,1,4,3,4,4,2,1,5,133,59.111111111111114
1,5,1,4,3,3,2,5,5,5,4,5,3,161,71.55555555555554
4,1,5,5,1,5,1,4,3,1,2,1,5,129,57.333333333333336
4,4,1,3,2,4,5,5,3,4,1,5,3,153,68.0
4,4,4,4,4,5,3,4,2,2,3,1,1,134,59.55555555555555
1,2,1,5,4,2,3,3,4,2,1,1,5,124,55.111111111111114
5,1,3,3,5,4,1,5,5,1,1,3,4,146,64.88888888888889
4,1,2,5,5,1,2,3,1,1,5,1,1,116,51.55555555555556
1,5,3,3,1,5,3,3,3,5,5,1,4,136,60.44444444444444
3,4,5,5,5,4,5,1,5,2,4,2,5,169,75.1111111111111
1,3,5,1,4,2,2,2,4,1,4,2,5,125,55.55555555555556
3,4,4,1,1,4,2,3,1,2,5,1,2,104,46.22222222222222
2,3,3,5,2,2,3,1,1,4,3,4,3,130,57.77777777777777
5,2,5,3,2,1,1,4,3,3,1,5,2,133,59.111111111111114
5,5,1,1,1,4,5,3,2,4,3,5,1,131,58.22222222222222
5,2,4,4,2,3,3,4,4,1,3,2,3,134,59.55555555555555
1,4,4,1,2,4,5,4,5,1,1,4,3,128,56.888888888888886
5,2,4,2,4,3,3,3,3,1,1,5,2,134,59.55555555555555
4,4,1,4,1,5,2,5,3,3,3,5,4,152,67.55555555555556
2,3,3,3,2,3,2,3,5,5,2,5,2,138,61.33333333333333
5,5,2,4,5,3,4,2,4,1,1,5,5,163,72.44444444444444
3,4,1,5,4,5,5,1,1,5,2,5,5,167,74.22222222222223
3,3,3,2,2,5,3,2,1,5,4,5,4,148,65.77777777777779
3,4,3,1,4,5,3,5,2,3,4,3,5,157,69.77777777777779
1,3,4,2,1,2,3,5,5,4,5,1,5,138,61.33333333333333
4,3,3,5,2,3,5,4,5,3,4,5,1,158,70.22222222222221
4,1,2,4,1,3,3,2,4,4,4,2,4,130,57.77777777777777
3,1,3,3,1,3,2,1,3,5,3,2,4,118,52.44444444444445
3,4,5,3,1,4,5,1,1,1,1,3,3,115,51.11111111111111
3,5,5,5,2,5,3,3,2,2,5,4,2,152,67.55555555555556
1,3,1,3,3,2,2,1,3,1,4,1,5,105,46.666666666666664
1,5,5,5,4,1,1,4,3,2,1,2,4,136,60.44444444444444
3,3,3,4,5,5,2,5,5,3,3,2,1,147,65.33333333333333
2,2,4,4,2,2,2,5,4,2,3,3,5,143,63.55555555555556
5,1,1,1,5,5,5,3,5,3,1,1,1,121,53.77777777777778
2,2,4,4,4,2,2,4,4,5,4,5,3,164,72.88888888888889
2,4,2,2,2,3,1,4,1,1,1,2,5,107,47.55555555555556
2,2,1,2,1,5,4,1,5,4,3,1,1,97,43.111111111111114
3,3,1,3,2,4,4,4,2,3,5,3,1,127,56.44444444444444
4,3,5,1,2,2,5,1,4,3,1,2,5,128,56.888888888888886
5,3,5,5,1,4,3,1,4,1,1,5,4,142,63.11111111111111
3,3,4,5,2,1,5,4,1,3,2,3,4,145,64.44444444444444
1,4,1,5,2,5,5,4,2,1,1,3,1,116,51.55555555555556
4,5,5,5,2,1,4,2,3,4,4,4,5,168,74.66666666666667
4,1,4,5,4,3,3,5,1,1,2,5,4,158,70.22222222222221
5,2,5,5,2,1,4,2,3,1,3,1,4,130,57.77777777777777
4,5,3,1,4,2,4,2,1,4,4,1,4,134,59.55555555555555
2,4,3,5,2,3,1,2,5,5,1,1,2,118,52.44444444444445
4,1,4,3,5,4,5,4,3,1,3,1,1,131,58.22222222222222
5,3,4,3,5,1,5,2,2,4,5,4,4,170,75.55555555555556
2,4,2,1,5,4,2,3,4,1,1,3,2,115,51.11111111111111
4,2,1,2,1,2,3,5,3,3,5,5,4,143,63.55555555555556
4,3,3,1,1,4,4,1,1,2,2,1,2,91,40.44444444444444
5,4,4,1,3,1,2,3,2,5,2,5,5,154,68.44444444444444
2,2,5,3,5,4,5,3,4,1,1,3,5,152,67.55555555555556
2,3,4,4,1,4,3,4,3,2,1,4,3,130,57.77777777777777
5,1,2,3,2,2,4,4,3,5,3,5,2,147,65.33333333333333
1,3,3,5,2,2,5,2,4,1,3,1,3,116,51.55555555555556
4,2,5,4,1,5,2,4,5,4,4,2,3,147,65.33333333333333
5,2,4,2,3,5,3,1,5,3,4,5,5,161,71.55555555555554
2,4,1,3,2,3,1,1,5,1,3,4,4,115,51.11111111111111
5,3,3,1,3,2,1,2,5,4,5,4,5,150,66.66666666666666
3,2,4,1,2,1,2,2,5,4,4,2,3,118,52.44444444444445
3,1,1,5,2,1,1,2,5,1,5,4,5,131,58.22222222222222
3,3,5,3,4,2,3,3,5,4,2,5,5,169,75.1111111111111
4,2,4,2,4,5,5,1,3,4,1,3,4,145,64.44444444444444
2,3,5,1,3,3,5,4,2,5,2,4,3,148,65.77777777777779
2,1,1,5,4,5,5,5,1,1,5,1,4,142,63.11111111111111
5,1,2,5,5,4,3,3,4,4,4,3,4,168,74.66666666666667
1,5,5,2,2,5,1,3,3,1,3,4,5,135,60.0
5,1,3,2,2,3,2,1,1,3,2,1,1,90,40.0
4,4,1,3,5,5,1,1,1,3,4,1,1,113,50.22222222222222
2,3,1,2,5,1,1,2,3,1,5,1,5,116,51.55555555555556
4,4,5,3,1,1,4,5,1,1,3,2,4,131,58.22222222222222
4,2,1,3,3,4,3,2,1,2,5,4,3,131,58.22222222222222
5,3,1,1,1,3,5,1,5,3,5,3,3,125,55.55555555555556
4,3,3,2,1,4,4,4,2,3,1,5,3,135,60.0
2,3,3,2,4,4,1,1,4,5,3,5,3,141,62.66666666666667
4,1,1,5,1,4,5,3,1,2,1,3,5,130,57.77777777777777
3,2,4,1,5,4,3,5,4,5,2,2,1,140,62.22222222222222
1,2,5,2,1,2,2,5,4,1,5,2,2,112,49.77777777777778
4,1,1,3,1,4,3,3,2,2,1,3,2,103,45.77777777777778
4,2,2,3,3,5,4,3,1,4,4,3,4,148,65.77777777777779
3,2,5,2,3,3,2,1,1,1,3,4,3,117,52.0
4,2,5,4,1,3,2,1,2,5,3,3,5,141,62.66666666666667
3,4,2,1,5,4,1,1,5,4,1,1,4,121,53.77777777777778
3,1,2,4,1,5,2,1,2,2,3,2,3,104,46.22222222222222
4,3,5,1,4,4,5,3,1,3,2,3,4,147,65.33333333333333
1,3,1,1,2,2,4,5,1,5,4,1,1,106,47.11111111111111
5,3,2,3,5,2,3,2,1,3,2,2,2,125,55.55555555555556
3,4,3,5,3,2,1,3,3,2,1,1,5,127,56.44444444444444
3,1,1,4,4,1,5,1,2,3,5,2,5,137,60.88888888888889
2,3,3,4,2,4,2,4,3,5,4,2,2,135,60.0
3,2,1,5,4,5,3,4,4,1,3,2,1,127,56.44444444444444
1,5,5,5,1,2,4,5,2,3,5,4,3,155,68.88888888888889
3,4,5,1,4,4,4,3,2,1,5,5,2,146,64.88888888888889
4,1,5,5,4,2,1,2,2,1,1,5,5,145,64.44444444444444
1,3,5,3,1,5,2,1,4,3,1,1,5,114,50.66666666666667
5,5,4,5,1,5,2,5,4,2,1,1,3,137,60.88888888888889
2,3,2,2,4,3,4,2,1,2,4,3,3,124,55.111111111111114
4,3,5,1,1,1,3,3,2,2,1,5,2,115,51.11111111111111
2,3,5,1,2,5,5,1,5,5,5,2,1,130,57.77777777777777
5,5,2,1,3,2,1,5,1,1,1,3,1,106,47.11111111111111
3,5,3,5,5,3,2,4,1,4,1,1,5,152,67.55555555555556
1,1,3,4,3,1,5,3,3,2,1,5,3,131,58.22222222222222
3,5,1,2,3,2,4,1,4,4,4,1,1,111,49.333333333333336
5,2,2,5,5,4,5,3,2,5,3,3,3,168,74.66666666666667
3,4,3,4,4,3,2,3,3,3,2,1,1,120,53.333333333333336
4,4,2,5,1,4,1,2,2,5,5,2,4,139,61.77777777777778
1,3,5,3,4,5,3,4,1,4,5,2,1,139,61.77777777777778
3,5,2,4,2,5,5,2,4,2,5,5,3,155,68.88888888888889
3,1,5,3,2,4,2,4,3,1,2,2,2,114,50.66666666666667
4,3,2,2,1,1,3,3,5,1,5,4,5,134,59.55555555555555
2,5,3,4,2,5,4,4,2,5,4,4,1,150,66.66666666666666
4,1,5,5,5,3,5,4,2,1,3,5,5,178,79.11111111111111
2,2,3,1,5,3,4,4,3,5,3,5,2,152,67.55555555555556
3,5,3,3,5,5,1,3,4,3,3,5,3,159,70.66666666666667
3,4,5,3,2,1,4,3,2,3,3,5,5,155,68.88888888888889
5,2,3,1,4,5,5,3,3,2,2,5,3,149,66.22222222222223
1,4,3,3,2,4,5,3,5,3,5,4,2,144,64.0
4,1,2,4,1,3,3,5,2,3,2,3,5,138,61.33333333333333
4,5,1,3,1,1,2,3,1,4,1,4,2,113,50.22222222222222
1,5,2,4,2,1,3,3,4,4,3,4,2,131,58.22222222222222
5,5,2,5,1,2,4,2,3,4,3,4,5,156,69.33333333333334
2,1,4,4,3,5,3,3,5,1,3,3,4,140,62.22222222222222
5,2,1,1,5,4,4,5,4,1,1,2,5,141,62.66666666666667
3,3,2,2,4,2,2,3,4,2,2,4,5,138,61.33333333333333
4,3,5,1,4,3,5,4,2,4,1,4,5,162,72.0
5,4,5,2,4,2,2,3,4,5,2,3,4,157,69.77777777777779
4,1,1,2,1,2,5,2,1,5,1,2,3,107,47.55555555555556
4,1,2,5,1,1,4,2,3,5,2,5,1,129,57.333333333333336
4,4,3,4,1,3,2,4,3,1,5,5,1,133,59.111111111111114
1,5,3,5,1,4,2,4,4,1,5,3,4,139,61.77777777777778
5,3,4,3,5,2,5,1,3,2,3,3,4,151,67.11111111111111
1,3,5,5,4,1,1,5,2,4,4,5,5,171,76.0
2,2,1,4,4,5,1,4,1,1,5,1,2,114,50.66666666666667
2,3,5,3,2,3,5,5,1,4,1,5,2,146,64.88888888888889
2,1,5,2,5,2,5,3,5,5,1,3,4,155,68.88888888888889
1,4,2,4,5,4,1,1,4,1,1,4,3,123,54.666666666666664
3,2,1,4,1,5,1,1,3,4,1,3,2,104,46.22222222222222
3,3,3,1,1,2,5,5,5,2,5,5,3,145,64.44444444444444
1,1,3,3,3,1,5,3,2,3,4,3,1,118,52.44444444444445
3,4,2,5,3,4,4,2,1,3,4,2,5,147,65.33333333333333
4,2,1,1,4,4,3,2,4,3,3,4,1,122,54.22222222222223
2,2,1,4,2,4,4,3,1,4,5,1,2,119,52.888888888888886
3,2,2,1,2,4,2,3,3,5,3,2,3,119,52.888888888888886
1,3,4,1,5,4,2,2,2,4,4,4,1,129,57.333333333333336
1,2,3,2,5,1,4,1,4,5,5,1,4,135,60.0
5,2,2,4,1,5,1,2,5,1,3,4,4,130,57.77777777777777
3,2,5,4,3,3,2,2,1,4,1,3,5,140,62.22222222222222
5,2,5,5,5,3,5,5,5,1,3,2,1,158,70.22222222222221
4,3,3,4,4,4,2,5,3,5,5,4,2,168,74.66666666666667
1,2,5,2,4,1,4,1,5,1,1,1,2,100,44.44444444444444
2,5,1,3,5,1,1,2,5,1,1,5,3,126,56.00000000000001
5,5,3,5,1,5,3,4,5,2,1,1,2,130,57.77777777777777
2,5,2,4,3,2,2,4,1,1,5,4,3,135,60.0
3,4,3,1,3,3,4,4,3,2,4,5,5,155,68.88888888888889
1,3,2,1,3,4,5,2,5,4,3,4,4,140,62.22222222222222
5,2,4,5,2,3,3,1,5,2,4,3,2,135,60.0
5,1,3,2,2,2,5,5,5,4,2,3,5,155,68.88888888888889
5,2,5,4,4,5,2,2,2,1,5,2,4,147,65.33333333333333
3,3,2,3,3,1,4,4,1,1,3,5,3,133,59.111111111111114
1,4,3,5,3,2,3,1,4,4,1,2,1,114,50.66666666666667
3,1,1,2,3,5,5,4,1,4,2,5,1,132,58.666666666666664
